wavelength spec_bulge spec_disk spec_clump1 spec_clump2 spec_clump3
1655.0 1.3183451053726987e-06 3.824924686488824e-06 5.450371229697273e-06 9.169464513611622e-06 1.087272649712921e-05
1665.0 1.2381464737331218e-06 3.7758349832630595e-06 5.354467579323445e-06 9.153033489430743e-06 1.1038626426696028e-05
1672.0 1.1440524322015369e-06 3.5587731879256668e-06 5.257375128311068e-06 8.86627302354712e-06 1.0601808373704496e-05
1677.0 1.2618462670027988e-06 3.7408701438272647e-06 5.255773219494893e-06 8.997840063584859e-06 1.0835265363449483e-05
1685.0 1.4470731949948726e-06 4.1049296870453706e-06 5.474377780203128e-06 9.372815831865825e-06 1.129995121835858e-05
1695.0 1.297809181690861e-06 3.916092004506922e-06 5.386605118105864e-06 9.170060027211643e-06 1.1035593837523724e-05
1705.0 1.3373760737048233e-06 3.934998014971885e-06 5.36594348794972e-06 9.119431906806703e-06 1.0958049894573447e-05
1715.0 1.2078019490487384e-06 3.7798446593048485e-06 5.2658590739468845e-06 8.94688871087469e-06 1.0785866336034684e-05
1725.0 1.1887953645666156e-06 3.6500126775737805e-06 5.125326409660577e-06 8.72414634216468e-06 1.0556111361681314e-05
1735.0 1.3672500551885891e-06 4.0162591513071085e-06 5.344540977868065e-06 9.116845201979057e-06 1.1030994561991565e-05
1745.0 1.238369419347141e-06 3.788141395826719e-06 5.187081425577376e-06 8.811082665387564e-06 1.06958865438092e-05
1755.0 1.4381778098288636e-06 4.140580941131123e-06 5.323819678365015e-06 9.163186455287162e-06 1.1141517518051559e-05
1765.0 1.351552360603046e-06 3.973015840455107e-06 5.269699930781805e-06 8.957502074208578e-06 1.079692553008555e-05
1775.0 1.2732234698995717e-06 3.86934149131945e-06 5.18050400916083e-06 8.749157417961865e-06 1.0724463723484146e-05
1785.0 1.3301498608302077e-06 4.027058189151025e-06 5.213149045475411e-06 8.980458051970655e-06 1.0954260440638857e-05
1795.0 1.4656842802082633e-06 4.232734468963934e-06 5.265232824474755e-06 9.122934874732144e-06 1.1172094610991238e-05
1805.0 1.3628940491316145e-06 4.1170527010813475e-06 5.1961624504955645e-06 9.030404375207583e-06 1.10669860215605e-05
1815.0 1.3796749081195402e-06 4.097856655105272e-06 5.170274472689768e-06 8.897795580226276e-06 1.0919852300041558e-05
1825.0 1.3333955441762364e-06 4.086908748366712e-06 5.1766961701999635e-06 8.930631805651988e-06 1.0938952658231331e-05
1835.0 1.360956140526203e-06 4.105603686701315e-06 5.1772865443115055e-06 8.925766208157678e-06 1.0914545092834596e-05
1845.0 1.2582236455024673e-06 3.934790860936011e-06 5.079923768344649e-06 8.702824313299833e-06 1.0633588173775345e-05
1855.0 1.280217677391735e-06 3.930854770815925e-06 5.052061236121496e-06 8.599950985729363e-06 1.0557164527246777e-05
1865.0 1.3018807958401022e-06 3.995486281386074e-06 5.078466896842609e-06 8.676528967101455e-06 1.0655956300612502e-05
